created_at,n,cumsum
2020-10-01,1,8045
2020-10-04,1,8046
2020-10-05,4,8050
2020-10-06,8,8058
2020-10-07,4,8062
2020-10-08,4,8066
2020-10-09,4,8070
2020-10-10,4,8074
2020-10-11,56,8130
2020-10-12,107,8237
2020-10-13,44,8281
2020-10-14,10,8291
2020-10-15,13,8304
2020-10-16,13,8317
2020-10-17,5,8322
2020-10-18,7,8329
2020-10-19,3,8332
2020-10-20,6,8338
2020-10-21,73,8411
2020-10-22,380,8791
2020-10-23,147,8938
2020-10-24,111,9049
2020-10-25,70,9119
2020-10-26,91,9210
2020-10-27,185,9395
2020-10-28,51,9446
2020-10-29,33,9479
2020-10-30,36,9515
2020-10-31,33,9548
2020-11-01,16,9564
2020-11-02,64,9628
2020-11-03,44,9672
2020-11-04,30,9702
2020-11-05,47,9749
2020-11-06,33,9782
2020-11-07,11,9793
2020-11-08,18,9811
2020-11-09,15,9826
2020-11-10,20,9846
2020-11-11,17,9863
2020-11-12,21,9884
2020-11-13,12,9896
2020-11-14,16,9912
2020-11-15,18,9930
2020-11-16,14,9944
2020-11-17,13,9957
2020-11-18,16,9973
2020-11-19,9,9982
2020-11-20,13,9995
2020-11-21,13,10008
2020-11-22,11,10019
2020-11-23,4,10023
2020-11-24,7,10030
2020-11-25,9,10039
2020-11-26,9,10048
2020-11-27,3,10051
2020-11-28,5,10056
2020-11-29,16,10072
2020-11-30,10,10082
2020-12-01,9,10091
2020-12-02,2,10093
2020-12-03,8,10101
2020-12-04,10,10111
2020-12-05,3,10114
2020-12-06,11,10125
2020-12-07,4,10129
2020-12-08,11,10140
2020-12-09,5,10145
2020-12-10,13,10158
2020-12-11,5,10163
2020-12-12,7,10170
2020-12-13,6,10176
2020-12-14,2,10178
2020-12-15,8,10186
2020-12-16,2,10188
2020-12-17,8,10196
2020-12-18,8,10204
2020-12-19,1,10205
2020-12-20,5,10210
2020-12-22,6,10216
2020-12-23,1,10217
2020-12-24,3,10220
2020-12-25,2,10222
2020-12-26,2,10224
2020-12-27,1,10225
2020-12-28,5,10230
2020-12-29,2,10232
2020-12-30,9,10241
2020-12-31,3,10244
2021-01-01,1,10245
2021-01-02,1,10246
2021-01-03,2,10248
2021-01-04,4,10252
2021-01-05,2,10254
2021-01-06,2,10256
2021-01-07,1,10257
2021-01-08,3,10260
2021-01-09,4,10264
2021-01-10,5,10269
2021-01-11,2,10271
2021-01-12,3,10274
2021-01-14,1,10275
2021-01-15,1,10276
2021-01-16,3,10279
2021-01-18,3,10282
2021-01-19,23,10305
2021-01-20,5,10310
2021-01-21,6,10316
2021-01-22,4,10320
2021-01-23,2,10322
2021-01-24,1,10323
2021-01-26,2,10325
2021-01-28,3,10328
2021-01-29,3,10331
2021-02-01,5,10336
2021-02-02,2,10338
2021-02-04,2,10340
2021-02-06,1,10341
2021-02-07,4,10345
2021-02-08,2,10347
2021-02-10,2,10349
2021-02-11,4,10353
2021-02-12,3,10356
2021-02-13,3,10359
2021-02-15,133,10492
2021-02-16,18,10510
2021-02-17,7,10517
2021-02-18,12,10529
2021-02-19,4,10533
2021-02-20,4,10537
2021-02-21,5,10542
2021-02-22,4,10546
2021-02-23,1,10547
2021-02-24,4,10551
2021-02-25,8,10559
2021-02-26,2,10561
2021-02-27,1,10562
2021-02-28,6,10568
2021-03-01,1,10569
2021-03-02,3,10572
2021-03-03,2,10574
2021-03-04,17,10591
2021-03-05,1,10592
2021-03-06,3,10595
2021-03-07,1,10596
2021-03-08,1,10597
2021-03-09,3,10600
2021-03-10,2,10602
2021-03-11,3,10605
2021-03-12,9,10614
2021-03-13,4,10618
2021-03-14,18,10636
2021-03-15,4,10640
2021-03-16,3,10643
2021-03-19,2,10645
2021-03-20,1,10646
2021-03-23,3,10649
2021-03-25,3,10652
2021-03-27,3,10655
2021-03-28,2,10657
2021-03-29,1,10658
2021-03-30,2,10660
2021-03-31,1,10661
2021-04-01,1,10662
2021-04-02,2,10664
2021-04-03,1,10665
2021-04-04,1,10666
2021-04-05,3,10669
2021-04-06,2,10671
2021-04-07,1,10672
2021-04-08,4,10676
2021-04-10,1,10677
2021-04-11,2,10679
2021-04-12,1,10680
2021-04-13,2,10682
2021-04-14,3,10685
2021-04-15,3,10688
2021-04-16,3,10691
2021-04-17,1,10692
2021-04-18,3,10695
2021-04-19,1,10696
2021-04-20,1,10697
2021-04-21,4,10701
2021-04-22,2,10703
2021-04-23,3,10706
2021-04-24,5,10711
2021-04-25,1,10712
2021-04-26,3,10715
2021-04-28,3,10718
2021-04-29,6,10724
2021-04-30,1,10725
2021-05-01,2,10727
2021-05-02,1,10728
2021-05-03,2,10730
2021-05-05,1,10731
2021-05-06,3,10734
2021-05-08,1,10735
2021-05-09,2,10737
2021-05-11,2,10739
2021-05-12,2,10741
2021-05-15,1,10742
2021-05-16,1,10743
2021-05-22,1,10744
2021-05-24,3,10747
2021-05-27,1,10748
2021-05-31,2,10750
2021-06-03,1,10751
2021-06-07,1,10752
2021-06-08,1,10753
2021-06-11,1,10754
2021-06-14,1,10755
2021-06-15,2,10757
2021-06-17,2,10759
2021-06-18,2,10761
2021-06-20,1,10762
2021-06-21,1,10763
2021-06-25,1,10764
2021-07-01,1,10765
2021-07-02,1,10766
2021-07-03,1,10767
2021-07-05,1,10768
2021-07-06,1,10769
2021-07-07,1,10770
2021-07-08,1,10771
2021-07-09,1,10772
2021-07-11,1,10773
2021-07-12,1,10774
2021-07-15,1,10775
2021-07-19,1,10776
2021-07-23,2,10778
2021-07-24,1,10779
2021-07-26,1,10780
2021-07-29,1,10781
2021-07-31,1,10782
2021-08-18,1,10783
2021-08-24,1,10784
2021-08-28,1,10785
2021-08-30,1,10786
